G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
-29044.6407,190.5951,383.895,1.77274,-1.32001,0.91701,-0.39161,0.31194,-1.69988,331.4108,552.9794312,-1.959
-22280.1857,-151.0158,182.506,8.78266,-1.60555,-0.43795,-0.80504,1.90613,-0.75543,172.2014,343.5537109,-1.38663
-18341.0382,36.3526,125.437,3.11244,-0.36569,0.20104,-0.36569,0.26314,-0.36569,86.1334,279.8872375,-0.28
-24403.9673,31.5166,257.595,8.47413,-0.80955,0.50554,-0.40779,0.42945,-1.17874,217.267,427.0641174,-2.167
-31553.6753,-983.1564,375.567,7.34481,-1.17977,1.04387,-0.47581,0.46946,-2.33726,349.3364,552.3091431,-5.639
-18707.7356,-6.7036,115.599,2.01072,-0.76612,0.38351,-0.44739,0.38527,-0.76612,88.106,259.8746643,-0.19
-22563.7361,94.8786,183.196,2.44117,-0.75199,0.37849,-0.43934,0.35901,-1.16861,149.2074,337.9596558,-0.42
-24632.4991,-201.5958,272.344,4.96871,-0.51432,0.06515,-0.51432,0.50598,-1.1907,236.2726,439.9343567,-3.07931
-18781.6148,-17.6028,112.06,5.18649,-0.76378,0.04452,-0.38467,0.47084,-0.29294,89.0938,252.7227478,-0.62
-20265.1927,-11.4708,173.685,1.85525,-0.38323,-0.06568,-0.38323,0.21056,-0.38323,128.2138,322.7430725,-1.29
-21707.1809,-205.6481,172.551,8.21621,0,0.65122,-0.56822,0.30322,-1.23978,132.2232,339.4888916,-1.46
-28018.4958,82.267,364.43,3.81394,-0.72592,-0.01707,-0.38395,0.28891,-0.72592,288.429,496.0800476,-4.06153
-27065.1416,40.8176,336.249,4.72827,-0.50982,0.35191,-0.50982,0.50914,-1.29952,268.3578,527.4960327,-3.35
-22517.3652,-13.5565,211.614,4.0809,0,-0.17201,-0.36968,0.24763,-0.74126,173.217,385.3661804,-0.938
-35582.2284,-49.5348,560.301,5.36806,-2.11857,0.91598,-0.41507,0.37358,-2.11857,460.6094,727.8582153,-5.51
-26761.4893,126.8051,292.907,2.01084,-1.23134,1.07297,-0.47028,0.43552,-1.66726,235.2822,486.0928955,-1.229
-30558.1716,18.7521,390.715,2.06551,-1.05534,0.1914,-0.40548,0.38837,-1.19499,428.1196,567.260437,-4.93
-18107.6415,-18.0693,95.6045,3.78682,-0.73251,0.50258,-0.42382,0.37364,-0.92875,94.4975,222.8913269,0.944261
-33208.6488,792.647,384.604,0.00491409,-0.34241,0.7095,-0.17123,0.11082,-0.70951,459.7548,518.993042,-12.790485
